Country_code,Country,year,NY.GDP.PCAP.KD.ZG,SH.DYN.MORT,SH.MED.PHYS.ZS,SP.DYN.LE00.IN,SP.POP.TOTL,SP.URB.TOTL.IN.ZS
PNG,Papua New Guinea,2000,-5.80069881814661,71.9,0.05,61.609,5537064.0,13.2228772276955
PNG,Papua New Guinea,2008,-3.34540325323914,61.6,0.046,62.511,7183002.0,13.0185611592166
POL,Poland,1992,2.2010658533475,16.5,2.19,71.090243902439,38363667.0,61.4357163819024
POL,Poland,1996,6.01319811600105,13.2,2.368,72.2463414634146,38624370.0,61.6396786847836
POL,Poland,2000,5.75502267661936,9.3,2.223,73.7487804878049,38258629.0,61.7459160613903
POL,Poland,2004,5.15230495657681,7.8,2.291,74.8463414634146,38182222.0,61.6555172559989
POL,Poland,2008,4.36953645222033,6.7,2.169,75.5439024390244,38125759.0,61.1258760375274
POL,Poland,2012,1.51202436704637,5.4,2.223,76.7463414634146,38063164.0,60.6341632788866
POL,Poland,2016,3.07547528252388,4.8,2.397,77.8512195121951,37970087.0,60.2402284228997
PRT,Portugal,1976,3.90271245992484,39.4,1.3,68.8609756097561,9355810.0,38.71700958882
PRT,Portugal,1992,1.1681037872908,12.5,2.864,74.3121951219512,9952494.0,49.0028717408102
PRT,Portugal,1996,3.11580522976421,9.2,3.008,75.2609756097561,10063945.0,51.6932632041232
PRT,Portugal,2000,3.08905313202446,7.2,3.207,76.3146341463415,10289898.0,54.4051635389142
PRT,Portugal,2004,1.54561995012715,5.0,3.417,77.6707317073171,10483861.0,57.4171857647664
PRT,Portugal,2008,0.174699975144293,4.0,3.752,78.5243902439025,10558177.0,60.3510029424595
PRT,Portugal,2012,-3.66111452137058,3.7,4.241,80.3731707317073,10514844.0,61.1409793914666
PRT,Portugal,2016,2.32643063621838,3.6,4.93,81.1243902439025,10325452.0,61.1343011242723
PRY,Paraguay,1984,-0.0413519355069241,57.1,0.701,65.609,3412936.0,44.2836907378064
PRY,Paraguay,1988,2.98628798534499,49.2,0.64,66.71,3820546.0,48.1456993208789
PRY,Paraguay,2000,-4.18580870385856,33.6,1.17,70.026,5100868.0,57.5141169408231
PRY,Paraguay,2012,-2.09516519053814,24.4,1.391,73.105,5897008.0,59.9212909454702
QAT,Qatar,1996,1.47482709329236,14.6,1.26,74.558,529019.0,95.3885119686424
QAT,Qatar,2008,-0.340739470062928,9.6,3.231,78.262,1426938.0,98.1295193937322
QAT,Qatar,2016,-2.45109169349175,7.5,2.751,82.147,2477113.0,98.9855265345423
ROU,Romania,1992,-7.93923952826758,28.4,1.856,69.7843902439024,22794284.0,54.3130567791968
ROU,Romania,1996,4.20752254376104,26.8,1.815,69.1048780487805,22619004.0,53.677523113411
ROU,Romania,2000,2.59397523199067,21.6,1.961,71.1634146341463,22442971.0,52.8619549004535
ROU,Romania,2004,11.0591132161949,19.4,2.25,71.5609756097561,21451748.0,52.9175295523808
ROU,Romania,2008,11.1442089014979,14.0,2.426,72.5658536585366,20537875.0,53.6297858153706
ROU,Romania,2012,2.35828066727251,11.2,2.598,74.4121951219512,20058035.0,53.9563092496073
ROU,Romania,2016,3.45169541464914,8.5,2.83,75.209756097561,19702267.0,53.5528171972639
RUS,Russian Federation,1992,-14.6139171358036,21.7,4.28,66.8731707317073,148538197.0,73.3822937011719
RUS,Russian Federation,1996,-3.61497549497646,21.7,4.519,65.8541463414634,148160129.0,73.0623092651367
RUS,Russian Federation,2000,10.4637091559227,19.4,4.636,65.4836585365854,146596869.0,73.1568222045898
RUS,Russian Federation,2004,7.63249118230908,15.0,4.74,65.4709756097561,144067316.0,73.3065795898438
RUS,Russian Federation,2008,5.24621001829865,11.3,4.894,67.9492682926829,142742366.0,73.4822463989258
RUS,Russian Federation,2012,3.76271915500016,9.9,4.003,70.0721951219512,143378447.0,73.97265625
RUS,Russian Federation,2016,-0.0904862004782103,7.5,3.964,71.6512195121951,145015460.0,74.3703138709243
RWA,Rwanda,1980,5.61955982337533,218.2,0.032,48.122,5353259.0,4.81638822421827
RWA,Rwanda,2004,4.64511890543764,118.1,0.049,55.52,8816844.0,16.9020099536792
RWA,Rwanda,2008,8.27757420238298,76.2,0.052,60.641,9804269.0,16.9170867063804
RWA,Rwanda,2016,3.48878829333981,46.3,0.12,65.733,11919183.0,19.1213951786548
SAU,Saudi Arabia,2000,0.150492543589365,22.1,0.924,72.607,16177722.0,79.9704860819453
SAU,Saudi Arabia,2008,2.04298819113291,13.8,1.971,75.301,23287877.0,81.6441431042994
SAU,Saudi Arabia,2012,1.40889754697817,10.8,2.273,76.09,26168861.0,82.4311918025358
SAU,Saudi Arabia,2016,-2.03439520588341,8.5,2.466,78.354,30954198.0,83.129128630626
SDN,Sudan,1980,-2.31869961272838,147.5,0.11,54.072,17058905.0,19.8180733969619
SDN,Sudan,1984,-7.06459754963682,180.2,0.096,49.807,19546528.0,21.4474884740718
SDN,Sudan,1996,3.52820988912499,116.4,0.09,57.638,25231528.0,32.1664651904255
SDN,Sudan,2000,3.37132975440942,103.4,0.158,58.946,27816745.0,32.3435880462815
SDN,Sudan,2004,2.38501078452138,102.6,0.247,56.773,30556637.0,32.4459598296403
SDN,Sudan,2008,0.693530743818769,78.8,0.322,61.261,33623980.0,32.4816230749746
SEN,Senegal,1992,-1.47449734866765,135.0,0.068,57.287,8168395.0,39.3197068566225
SEN,Senegal,1996,-0.443182026754187,138.4,0.093,57.129,9067014.0,39.9664704533115
SEN,Senegal,2004,2.21660237161285,95.9,0.054,60.308,10975704.0,41.6248193895895
SEN,Senegal,2008,1.30518111750766,70.3,0.062,63.201,12048959.0,42.867747101036
SEN,Senegal,2016,3.23503572393487,51.1,0.077,66.724,15034521.0,47.0553579909929
SGP,Singapore,1980,8.72460740268357,14.6,0.851,72.190243902439,2413945.0,100.0
SGP,Singapore,1988,8.47550112413526,9.1,1.111,74.6975609756098,2846108.0,100.0
SGP,Singapore,1992,3.48371824424044,6.3,1.348,75.9463414634146,3230698.0,100.0
SGP,Singapore,2000,7.16598820156491,3.8,1.382,77.9512195121951,4027887.0,100.0
